epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
16,1,1,84.9824,83.8979,78.2473,90.4283,41931.86469,90.6717,66.4781,79.932,56.9007,2621.48634,121318,47464,5024,55635,13195,7622,705,534,6206,177,170.6037
31,2,2,85.9155,84.9841,79.7128,91.002,39342.29744,90.2125,65.5268,80.3855,55.3042,2557.506882,121318,48353,4781,55878,12306,7622,709,573,6167,173,170.598
35,5,5,85.8727,84.6972,78.1912,92.3841,38791.11919,92.1018,69.6878,78.458,62.6812,2312.911194,121318,47430,3910,56749,13229,7622,692,412,6328,190,170.5598
35,3,3,85.8957,85.1862,81.1059,89.6988,39540.59071,89.3597,63.8431,81.1791,52.6084,2712.388609,121318,49198,5650,55009,11461,7622,716,645,6095,166,170.5388
12,1,1,84.9099,83.8612,78.4121,90.1243,42905.92209,90.3569,65.798,80.1587,55.8011,2647.089891,121318,47564,5212,55447,13095,7622,707,560,6180,175,170.5156
43,3,3,86.0581,84.9453,78.666,92.3139,38485.56166,91.6033,68.5039,78.9116,60.5217,2225.622559,121318,47718,3973,56686,12941,7622,696,454,6286,186,170.5149
39,2,2,86.0697,85.0973,79.5447,91.4832,38635.86871,90.6849,66.4778,79.8186,56.9579,2450.747938,121318,48251,4492,56167,12408,7622,704,532,6208,178,170.5035
36,3,3,85.9032,84.93,79.4458,91.2276,39144.89594,90.6849,66.4778,79.8186,56.9579,2513.068632,121318,48191,4634,56025,12468,7622,704,532,6208,178,170.5035
37,3,3,86.0252,84.9829,79.0847,91.8318,38861.49731,91.354,67.9319,79.1383,59.5055,2309.308746,121318,47972,4267,56392,12687,7622,698,475,6265,184,170.4923
39,5,5,86.0227,84.9246,78.7385,92.1655,38494.45108,91.9181,69.2308,78.5714,61.875,2297.843678,121318,47762,4060,56599,12897,7622,693,427,6313,189,170.4895
38,3,3,85.9477,84.8922,78.9611,91.7866,38875.6465,91.2359,67.667,79.2517,59.0372,2338.908663,121318,47897,4286,56373,12762,7622,699,485,6255,183,170.4876
22,1,1,85.4416,84.1605,77.3537,92.2808,40705.10869,92.1281,69.7275,78.3447,62.8182,2210.242596,121318,46922,3925,56734,13737,7622,691,409,6331,191,170.4728
26,5,5,85.5232,84.5664,79.3238,90.551,40254.056,90.6324,66.3525,79.8186,56.7742,2749.567486,121318,48117,5021,55638,12542,7622,704,536,6204,178,170.451
56,4,4,86.7134,85.987,81.5295,90.9601,37242.37115,90.7373,66.572,79.7052,57.1545,2389.502102,121318,49455,4915,55744,11204,7622,703,527,6213,179,170.4425
29,3,3,85.632,84.5881,78.8589,91.2151,39780.82585,90.8423,66.7935,79.5918,57.541,2499.114985,121318,47835,4607,56052,12824,7622,702,518,6222,180,170.4341
44,4,4,86.3994,85.6694,81.3053,90.5285,38365.35666,90.5012,66.0731,79.932,56.3099,2492.251019,121318,49319,5160,55499,11340,7622,705,547,6193,177,170.4332
9,1,1,84.8679,83.7061,77.7378,90.667,44686.98218,90.7242,66.5405,79.7052,57.108,2503.058001,121318,47155,4854,55805,13504,7622,703,528,6212,179,170.4294
18,1,1,84.9783,83.9544,78.5967,90.0958,41893.84036,90.3569,65.7662,80.0454,55.8103,2695.61939,121318,47676,5241,55418,12983,7622,706,559,6181,176,170.4023
33,3,3,85.9065,84.8578,78.9809,91.6796,39312.02641,91.249,67.6684,79.1383,59.1025,2241.319679,121318,47909,4348,56311,12750,7622,698,483,6257,184,170.3873
8,1,1,84.5926,83.5626,78.3264,89.549,45620.15154,89.8845,64.8106,80.4989,54.2399,2654.119003,121318,47512,5545,55114,13147,7622,710,599,6141,172,170.3834
58,4,4,86.5428,86.0557,83.0495,89.2877,38057.16622,89.1892,63.4752,81.1791,52.1106,2671.169207,121318,50377,6044,54615,10282,7622,716,658,6082,166,170.3683
39,4,4,85.9131,84.7786,78.4599,92.2041,39043.29535,91.7869,68.8867,78.5714,61.3274,2254.324469,121318,47593,4024,56635,13066,7622,693,437,6303,189,170.3583
33,2,2,85.8743,84.6842,78.1038,92.4754,39020.28488,91.4458,68.1018,78.9116,59.8967,2327.534121,121318,47377,3855,56804,13282,7622,696,466,6274,186,170.3574
11,1,1,84.8769,83.8106,78.2901,90.1686,43440.33711,90.2781,65.5829,80.0454,55.5468,2658.885073,121318,47490,5178,55481,13169,7622,706,565,6175,176,170.3235
59,7,7,86.9104,86.2203,81.9021,91.0192,36742.32812,90.2781,65.5829,80.0454,55.5468,2464.379536,121318,49681,4902,55757,10978,7622,706,565,6175,176,170.3235
28,3,3,85.7144,84.8829,80.214,90.1289,40331.45494,89.9239,64.8673,80.3855,54.3712,2680.980476,121318,48657,5329,55330,12002,7622,709,595,6145,173,170.3094
37,5,5,85.9839,84.9384,79.0419,91.7855,38681.60955,91.3933,67.9688,78.9116,59.6913,2344.512163,121318,47946,4291,56368,12713,7622,696,470,6270,186,170.3049
15,1,1,85.0673,83.8871,77.7428,91.0861,42005.25237,91.1572,67.4396,79.1383,58.7542,2469.778082,121318,47158,4615,56044,13501,7622,698,490,6250,184,170.2955
32,3,3,85.8974,84.9685,79.7178,90.9597,39517.47551,90.4749,65.9794,79.8186,56.23,2570.522886,121318,48356,4806,55853,12303,7622,704,548,6192,178,170.2935
27,3,3,85.5735,84.4642,78.4335,91.4995,40058.31111,91.0391,67.1792,79.2517,58.2986,2441.631556,121318,47577,4420,56239,13082,7622,699,500,6240,183,170.2908
56,9,9,86.57,85.7665,80.9245,91.2247,37288.47789,90.5606,66.0689,79.7267,56.4061,2489.807722,121318,49088,4722,55937,11571,7617,700,541,6198,178,170.2873
19,3,3,85.3773,84.078,77.2169,92.2772,40985.75052,91.8132,68.9243,78.458,61.4565,2246.987148,121318,46839,3920,56739,13820,7622,692,434,6306,190,170.2712
