epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
1,6,6,88.676,88.6096,88.0925,89.1328,35193.58508,87.6935,60.2879,80.7256,48.1081,2811.171333,121318,53436,6515,54144,7223,7622,712,768,5972,170,84.20955
0,7,7,86.8775,86.3629,83.1039,89.8878,41400.55449,88.8087,62.2065,79.5918,51.0545,2955.905937,121318,50410,5671,54988,10249,7622,702,673,6067,180,84.20025
2,6,6,90.4936,90.8659,94.5696,87.4413,29929.62133,84.7153,55.8879,83.6735,41.9557,2935.259464,121318,57365,8239,52420,3294,7622,738,1021,5719,144,84.1944
0,4,4,85.4201,85.5175,86.0927,84.95,45667.87027,84.8071,56.003,83.5601,42.1143,3609.546444,121318,52223,9252,51407,8436,7622,737,1013,5727,145,84.1836
1,0,0,88.3274,87.6051,82.5005,93.3831,34453.85503,91.9181,68.6354,76.4172,62.2921,2106.032406,121318,50044,3546,57113,10615,7622,674,408,6332,208,84.16765
5,0,0,94.887,95.0938,99.1015,91.3976,17645.3938,87.2474,59.5337,81.0658,47.0395,2729.953196,121318,60114,5658,55001,545,7622,715,805,5935,167,84.1566
7,2,2,97.0417,97.0814,98.4042,95.7937,11698.89283,91.3933,67.3956,76.8707,60,2372.52664,121318,59691,2621,58038,968,7622,678,452,6288,204,84.132
18,3,3,98.7265,98.7405,99.8401,97.6649,5616.379716,91.8394,68.4264,76.4172,61.9485,3145.126613,121318,60562,1448,59211,97,7622,674,414,6326,208,84.1283
35,4,4,99.3455,99.3494,99.9489,98.7571,3350.527417,93.2957,72.1222,74.9433,69.5058,3603.94995,121318,60628,763,59896,31,7622,661,290,6450,221,84.1195
52,7,7,98.8394,98.8523,99.9604,97.7684,5391.086219,90.8685,66.2136,77.3243,57.8947,5930.891123,121318,60635,1384,59275,24,7622,682,496,6244,200,84.0964
21,7,7,97.5807,97.6372,99.972,95.4091,9915.289511,88.9399,62.3829,79.2517,51.4349,4272.600933,121318,60642,2918,57741,17,7622,699,660,6080,183,84.0958
19,1,1,98.4083,98.4321,99.9258,96.9824,6574.695292,91.1309,66.765,76.9841,58.941,3399.477827,121318,60614,1886,58773,45,7622,679,473,6267,203,84.0575
12,1,1,98.4149,98.4318,99.4889,97.3968,6851.532431,92.456,69.8795,75.6236,64.9464,2574.419374,121318,60349,1613,59046,310,7622,667,360,6380,215,84.0398
42,5,5,99.3315,99.3349,99.8483,98.8268,3130.078534,93.1252,71.6143,74.9433,68.5685,3824.674583,121318,60567,719,59940,92,7622,661,303,6437,221,84.03425
2,0,0,91.0887,91.2657,93.1156,89.4879,28891.97967,87.1031,59.2285,80.9524,46.6972,2627.691877,121318,56483,6635,54024,4176,7622,714,815,5925,168,84.02775
14,4,4,98.0267,98.0622,99.8599,96.3281,8179.622045,91.3671,67.2637,76.644,59.9291,2986.771365,121318,60574,2309,58350,85,7622,676,452,6288,206,84.00555
0,0,0,86.4389,86.1843,84.5959,87.8336,42149.58238,86.8276,58.7849,81.1791,46.0746,3106.445505,121318,51315,7108,53551,9344,7622,716,838,5902,166,84.00335
13,9,9,98.1412,98.1729,99.8764,96.5267,8077.081737,91.217,66.8319,76.7654,59.1747,3113.331808,121318,60584,2180,58479,75,7617,674,465,6274,204,83.9912
9,7,7,97.4876,97.53,99.2054,95.9103,9878.285219,91.5508,67.6707,76.4172,60.7207,2647.733572,121318,60177,2566,58093,482,7622,674,436,6304,208,83.984
1,7,7,88.2144,88.2748,88.7288,87.8253,36154.03803,86.211,57.842,81.746,44.7548,3070.780914,121318,53822,7461,53198,6837,7622,721,890,5850,161,83.9785
4,7,7,94.0166,94.2296,97.7085,90.9899,20436.97086,87.4442,59.7392,80.4989,47.4916,2631.324385,121318,59269,5869,54790,1390,7622,710,785,5955,172,83.97155
0,8,8,86.3384,86.2127,85.4267,87.0132,42266.89771,85.9617,57.4722,81.9728,44.2472,3197.09145,121318,51819,7734,52925,8840,7622,723,911,5829,159,83.96725
13,2,2,97.4027,97.464,99.8203,95.2164,10104.46933,89.6484,63.6238,78.2313,53.6131,3255.658379,121318,60550,3042,57617,109,7622,690,597,6143,192,83.93985
47,3,3,99.2227,99.2287,100,98.4692,3379.961344,91.7869,68.1911,76.0771,61.7864,5188.833256,121318,60659,943,59716,0,7622,671,415,6325,211,83.932
39,2,2,99.3455,99.3495,99.9571,98.7492,2556.165488,92.01,68.7211,75.8503,62.8169,4680.061891,121318,60633,768,59891,26,7622,669,396,6344,213,83.93015
57,2,2,99.1559,99.163,100,98.3399,4039.088009,90.9735,66.3405,76.8707,58.3477,6521.050274,121318,60659,1024,59635,0,7622,678,484,6256,204,83.9221
