epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
9,3,85.679,84.6668,79.0781,91.1056,41694.0607,90.6455,66.2245,79.2517,56.8755,2515.573851,121318,47968,4683,0,12691,7622,699,530,0,183,84.9486
31,5,87.119,86.3797,81.6911,91.6392,35730.09179,90.7505,66.4446,79.1383,57.26,2506.300144,121318,49553,4521,0,11106,7622,698,521,0,184,84.9444
46,3,88.1056,87.6246,84.2183,91.3179,33336.44051,89.9501,64.7978,79.932,54.4822,2482.28385,121318,51086,4857,0,9573,7622,705,589,0,177,84.94105
16,2,86.0771,85.3271,80.9657,90.1851,39688.22234,89.2679,63.4821,80.6122,52.3564,2708.413572,121318,49113,5345,0,11546,7622,711,647,0,171,84.94005
35,3,87.799,87.139,82.667,92.1224,35327.98463,90.7373,66.4129,79.1383,57.2131,2320.261496,121318,50145,4288,0,10514,7622,698,522,0,184,84.9378
18,5,86.2733,85.2017,79.032,92.4162,38723.31903,91.6426,68.4184,78.2313,60.793,2265.491225,121318,47940,3934,0,12719,7622,690,445,0,192,84.93695
57,5,87.3185,86.8517,83.7683,90.1707,34395.7337,89.4778,63.8739,80.3855,52.9895,3030.21752,121318,50813,5539,0,9846,7622,709,629,0,173,84.93165
36,5,87.2113,86.5123,82.029,91.514,35018.52513,90.5668,66.0368,79.2517,56.5992,2588.257673,121318,49758,4614,0,10901,7622,699,536,0,183,84.90925
14,5,85.5726,85.0857,82.3077,88.0578,41003.51184,88.179,61.5122,81.6327,49.3489,3072.765331,121318,49927,6771,0,10732,7622,720,739,0,162,84.90585
50,1,89.9833,89.9036,89.1937,90.6249,29216.78607,88.835,62.6591,80.9524,51.1095,2286.759977,121318,54104,5597,0,6555,7622,714,683,0,168,84.8937
52,3,87.8823,87.5268,85.0327,90.1717,33452.62086,88.9137,62.7917,80.839,51.3319,2781.667107,121318,51580,5622,0,9079,7622,713,676,0,169,84.87635
